Ecoregion,Huc12
C,030402030401
C,030402030402
C,030402030403
C,030402030501
C,030402030502
C,030402030503
C,030402030504
C,030402030505
C,030402030601
C,030402030602
C,030402030603
C,030402030604
C,030402030605
C,030402030701
C,030402030702
C,030402030703
C,030402030704
C,030402030705
C,030402030801
C,030402030802
C,030402030901
C,030402030902
C,030402030903
C,030402030904
C,030402031001
C,030402031002
C,030402031003
C,030402031004
C,030402031005
C,030402031101
C,030402031102
C,030402031103
C,030402031104
C,030402031201
C,030402031202
C,030402031203
C,030402031204
C,030402031205
C,030402031206
C,030402031207
C,030402031302
C,030402031303
C,030402031401
C,030402031403
C,030402031404
C,030402040102
C,030402040103
C,030402040104
C,030402040105
C,030402040106
C,030402040201
C,030402040202
C,030402040203
C,030402040301
C,030402040302
C,030402040303
C,030402040304
C,030402040305
C,030402040501
C,030402040503
C,030402040601
C,030402060101
C,030402060102
C,030402060103
C,030402060104
C,030402060105
C,030402060201
C,030402060202
C,030402060203
C,030402060204
C,030402060301
C,030402060302
C,030402060303
C,030402060304
C,030402060305
C,030402060306
C,030402060401
C,030402060402
C,030402060403
C,030402060404
C,030402060405
C,030402060501
C,030402060502
C,030402060503
C,030402060504
C,030402060505
C,030402060506
C,030402060601
C,030402060602
C,030402060603
C,030402060604
C,030402060605
C,030402060701
C,030402060702
C,030402060703
C,030402060704
C,030402080101
C,030402080102
C,030402080103
C,030402080104
C,030402080105
C,030402080106
C,030402080107
C,030402080201
C,030402080202
C,030402080203
C,030402080204
C,030402080302
C,030402080303
C,030402080304
C,030402080305
P,030101020801
P,030101020802
P,030101020803
P,030101020804
P,030101020805
P,030101020806
P,030101020901
P,030101020902
P,030101021001
P,030101021002
P,030101021003
P,030101021004
P,030101030102
P,030101030103
P,030101030104
P,030101030105
P,030101030106
P,030101030107
P,030101030108
P,030101030109
P,030101030201
P,030101030202
P,030101030203
P,030101030204
P,030101030301
P,030101030302
P,030101030303
P,030101030304
P,030101030305
P,030101030306
P,030101030402
P,030101030404
P,030101030407
P,030101030408
P,030101030409
P,030101030501
P,030101030502
P,030101030503
P,030101030504
P,030101030505
P,030101030802
P,030101030807
P,030101030901
P,030101030902
P,030101030903
P,030101030904
P,030101030905
P,030101030906
P,030101040102
P,030101040103
P,030101040104
P,030101040105
P,030101040106
P,030101040107
P,030101040108
P,030101040109
P,030101040201
P,030101040202
P,030101040203
P,030101040302
P,030101040303
P,030101040501
P,030101040502
P,030101040503
P,030101040504
P,030101040505
P,030101040506
P,030101040507
P,030101040601
P,030101040602
P,030101040603
P,030101040604
P,030101040605
P,030101040607
P,030101040701
P,030101040702
P,030101060204
P,030101060205
P,030101060301
P,030101060302
P,030101060303
P,030101060304
P,030101060305
P,030101060401
P,030101060402
P,030101060403
P,030101060404
P,030101070101
P,030101070102
P,030101070104
P,030102040701
P,030102040704
P,030102040704
P,030201010101
P,030201010102
